"category","subcategory","name","url","feed_url","feed_error_attempt","alexa","image_capture_attempt","attempt_reset_count","image_hour","image_updated_at","status"
"News","America","Bitter Southerner","http://bittersoutherner.com/","http://bittersoutherner.com/the-bs-via-rss/","295","215092","","1","D","Oct 22, 2017","problem"
"News","America","Belt Magazine (Midwest)","http://beltmag.com/","","","427848","","","D","19 hours ago","active"
"News","America","High Country News (West)","http://www.hcn.org/","http://cdn.hcn.org/rss/most-recent/RSS","","121742","","","D","16 hours ago","active"
"News","America","Boston Magazine","http://www.bostonmagazine.com/","http://www.bostonmagazine.com/feed/","","30223","","","D","Sep 29, 2017","problem"
"Info","Courses","Virtual University of Pakistan","http://ocw.vu.edu.pk/","","","18467","","","W","4 days ago","active"
"Info","Courses","Notre Dame","http://online.nd.edu/","","","11105","","","N","","active"
"Info","Courses","University of Michigan","http://open.umich.edu/","","","2378","","","N","","active"
"Info","Courses","MIT Open Courseware","http://ocw.mit.edu/","","","967","","","N","","active"
"Info","Courses","University of Mass","http://ocw.umb.edu/","","","39130","","","N","","active"
"Info","Courses","UC Irvine","http://ocw.uci.edu/","","","5720","","","N","","active"
"Info","Courses","U of Southern Queensland","http://ocw.usq.edu.au/","","","59279","","","N","","active"
"Info","Courses","Stanford Engineering Everywhere","https://see.stanford.edu/","","","1187","","","N","","active"
"Info","Courses","Digital Photography","http://tv.digitalphotography.exposed/","","","1643000","","","N","","active"
"Info","Courses","Carnegie Mellon -Open Learning","http://oli.cmu.edu/","","","4065","","","N","","active"
"Info","Courses","Utah State","http://ocw.usu.edu/","","","18632","","","N","","active"
"Info","Courses","Sofia Open Courses","http://sofia.fhda.edu/","","","38695","","","N","","active"
"Info","Courses","Harvard Engineering","http://www.seas.harvard.edu/","","","1239","","","N","","active"
"Info","Courses","Tufts","http://ocw.tufts.edu/","","","10341","","","N","","active"
"Info","Courses","Columbia Interactive","http://ci.columbia.edu/","","","2559","","","N","","active"
"Info","Courses","U Wisconsin Open Courses","http://open.uwec.edu/","","","59289","","","N","","active"
"Info","Courses","Delft Open Courseware","http://ocw.tudelft.nl/","","","23289","","","N","","active"
"Info","Courses","U of Saskatchewan Open Courseware","http://ocw.usask.ca/","","","42398","","","N","","active"
"Info","Courses","Inst. For Advanced Studies - Video","https://video.ias.edu/","","","91168","","","N","","inactive"
"Info","Computers","Python","https://www.python.org/","","","2151","","","N","","active"
"Info","Computers","Django","https://www.djangoproject.com/","","","6830","","","N","","active"
"Ideas","Culture","Brain Decoder","https://www.braindecoder.com/","","","242828","","","D","","inactive"
"Info","Entertainment","Didion's Bible","http://didionsbible.com/","","","1298472","","","N","Apr 12, 2016","inactive"
"Info","Education","Teachers Pay Teachers","https://www.teacherspayteachers.com/","","","2417","","","N","","active"
"Ideas","Ideas","Smart Set","http://www.thesmartset.com/","http://thesmartset.com/feed/","5","512363","","6","D","Jun 14, 2017","problem"
"Info","Entertainment","Live Station","http://www.livestation.com/","","","73996","","","N","","active"
"Info","Entertainment","Muse Score","http://musescore.com/","","","25698","","","N","","active"
"Info","Business","Invent Help","http://inventhelp.com/","","","627047","","","N","","active"
"Info","Courses","Brainpop","http://www.brainpop.com/","","","22177","","","N","","active"
"Ideas","Entertainment","Kotaku","http://kotaku.com/","","","896","","","D","","inactive"
"Ideas","Entertainment","Playbill","http://www.playbill.com/","http://www.playbill.com/rss/combined-feed-news-features-celebrity-buzz","","16106","","","D","Oct 2, 2017","problem"
"Info","Education","History Net","http://www.historynet.com/military-history","http://www.historynet.com/feed","326","54674","","","N","Oct 4, 2016","active"
"Info","Entertainment","Tidal","http://tidal.com/","","","15879","","","N","","active"
"Info","Health&Food","Weight Watchers","https://www.weightwatchers.com/","","","4074","","","N","","active"
"News","Finance&Business","Seeking Alpha","http://seekingalpha.com/","","","1412","","","H","Dec 8, 2015","inactive"
"News","America","Los Angeles Times","http://www.latimes.com/","","","645","","7","H","Sep 24, 2017","problem"
"Ideas","Articles","National Public Radio","http://www.npr.org/","","","545","","","D","Mar 25, 2016","inactive"
"News","World","Russia Today","https://www.rt.com/","","","398","","1","H","2 minutes ago","active"
"News","TopNews","MSNBC","http://www.msnbc.com/","http://www.msnbc.com/feeds/latest","","1782","","","H","Oct 3, 2017","problem"
"News","America","Alabama.com","http://www.al.com/","","","3422","","","H","Dec 7, 2015","inactive"
"News","World","The Telegraph (UK)","http://www.telegraph.co.uk/","","","221","","","H","Apr 8, 2016","inactive"
"News","America","New York Post","http://www.nypost.com ","","","820","","","H","","inactive"
"News","America","New Jersey (NJ.COM)","http://www.nj.com ","","","2783","","","H","","inactive"
"News","America","Michigan Live","http://www.Mlive.com","http://impact.mlive.com/michigan-river/atom.xml","310","3444","","2","D","Oct 6, 2017","problem"
"News","America","Boston Globe","http://www.Bostonglobe.com","","","2928","","","H","54 minutes ago","active"
"News","America","San Francisco Gate","http://www.Sfgate.com","","","867","","","H","Jan 14, 2016","inactive"
"News","America","Detroit Free Press","http://www.Freep.com","http://rssfeeds.freep.com/freep/home","","3410","","2","H","Sep 28, 2017","problem"
"News","America","New York Daily News","http://www.Nydailynews.com","","","736","","","H","Dec 29, 2015","inactive"
"Ideas","Articles","Elite Daily","http://www.Elitedaily.com","","","1996","","","D","Mar 20, 2016","inactive"
"News","TopNews","USA Today","http://www.usatoday.com","","","420","","","H","49 minutes ago","active"
"Ideas","Culture","Salon","http://www.Salon.com","","","1241","","","D","17 hours ago","active"
"Info","Education","Damn Interesting","http://www.damninteresting.com/","http://feeds.feedburner.com/damninteresting/all","","111829","","","N","Sep 19, 2017","active"
"Ideas","Entertainment","Kill Screen (Gaming)","http://killscreendaily.com/","","","82449","","","D","Nov 15, 2015","inactive"
"Ideas","Culture","Places Journal","https://placesjournal.org/","","","359298","","","D","9 hours ago","active"
"Info","Health&Food","Mayo Clinic","http://www.mayoclinic.org/patient-care-and-health-information","","","790","","","M","Apr 11, 2016","active"
"Info","Courses","University of the People","http://uopeople.edu/","","","57153","","","W","4 days ago","active"
"Ideas","Tech","Macworld","http://www.macworld.com/","http://www.macworld.com/index.rss","","3034","","","D","11 hours ago","active"
"Ideas","Entertainment","Screen Rant","http://screenrant.com/","http://feedproxy.google.com/ScreenRant","","3273","","","D","13 hours ago","active"
"Info","Business","1 Hour Translation","https://www.onehourtranslation.com/","","","36627","","","N","","active"
"News","Tech","FX Guide","http://www.fxguide.com/","","","111720","","","D","Nov 12, 2015","inactive"
"Ideas","Specialized","Modern Farmer","http://modernfarmer.com/","","","50753","","","D","12 hours ago","active"
"News","America","Texas Monthly","http://www.texasmonthly.com/","http://www.texasmonthly.com/feed/","","40463","","","D","12 hours ago","active"
"News","America","Tampa Bay Times","http://www.tampabay.com/","http://www.tampabay.com/feeds/rss.page?collatedTag=news&section=staffArticle&feedType=rss","161","11996","","","D","9 hours ago","active"
"Ideas","Ideas","Guernica Magazine","https://www.guernicamag.com/","","","133126","","","D","","inactive"
"News","Tech","Infoworld","http://www.infoworld.com/","http://www.infoworld.com/index.rss","","5945","","","D","Sep 25, 2017","problem"
"News","America","Washington Life","http://www.washingtonlife.com/","http://washingtonlife.com/feed/","33","697318","","","D","Jul 8, 2016","problem"
"Home","Health","Everyday Health","http://www.everydayhealth.com/","","","2390","","","D","Aug 23, 2016","problem"
"Ideas","Ideas","Federalist","http://thefederalist.com/","http://thefederalist.com/feed/","","11813","","","D","13 hours ago","active"
"News","America","Washington Free Beacon","http://freebeacon.com/","http://freebeacon.com/feed/","4","14721","","","D","4 hours ago","active"
"Ideas","Ideas","Grist","http://grist.org/","","","25961","","","D","Sep 25, 2017","problem"
"News","Finance&Business","Financial Post (Canada)","http://www.financialpost.com/","http://feeds.feedburner.com/FP_TopStories?format=xml ","","10456","","2","H","22 minutes ago","active"
"News","Finance&Business","Morningstar","http://www.morningstar.com/","","","2925","","","H","Mar 15, 2016","inactive"
"News","World","Sydney Morning Herald","http://www.smh.com.au/","http://feeds.smh.com.au/rssheadlines/top.xml","","1054","","","D","10 hours ago","active"
"Ideas","Culture","Real Clear Education","http://www.realcleareducation.com/","http://www.realcleareducation.com/index.xml","","862936","","","D","14 hours ago","active"
"Ideas","Ideas","City Journal","http://www.city-journal.org/","http://feeds.feedburner.com/city-journal","","83187","","","D","18 hours ago","active"
"Ideas","Specialized","Real Clear Defense","http://www.realcleardefense.com/","http://www.realcleardefense.com/index.xml","","111910","","","D","15 hours ago","active"
"Ideas","Culture","N+1 Magazine","https://nplusonemag.com/magazine/","","","229208","","","D","Jan 14, 2016","inactive"
"News","America","New York Sun","http://www.nysun.com/","http://www.nysun.com/rss.xml","","286787","","","D","18 hours ago","active"
"Info","Entertainment","Dr. Toy","http://www.drtoy.com/","","","800652","","","W","1 day ago","active"
"Ideas","Ideas","Avaunt Magazine","https://avauntmagazine.com/","","","4238970","","","D","","inactive"
"Ideas","Articles","Daily Caller","http://dailycaller.com/","http://dailycaller.com/feed/","","3227","","","D","19 hours ago","active"
